,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8
0,,Excel Sample Data,,,,,,,
1,,,,,,,,,
2,,Supermarket Sales Data,,,,,,,
3,,,,,,,,,
4,,,,,,,,Tax,0.1
5,,,,,,,,,
6,,Order No,Order Date,Customer Name,Ship Date,Retail Price (USD),Order Quantity,Tax (USD),Total (USD)
7,,1001,2024-01-01 00:00:00,John Smith,2024-01-03 00:00:00,49.99,2,9.998000000000001,109.97800000000001
8,,1002,2024-01-01 00:00:00,Jane Doe,2024-01-04 00:00:00,29.99,1,2.999,32.989
9,,1003,2024-01-02 00:00:00,Michael Johnson,2024-01-07 00:00:00,99.99,3,29.997,329.967
10,,1004,2024-01-02 00:00:00,Emily Brown,2024-01-03 00:00:00,19.99,4,7.9959999999999996,87.95599999999999
11,,1005,2024-01-03 00:00:00,David Wilson,2024-01-08 00:00:00,149.99,1,14.999000000000002,164.989
12,,1006,2024-01-03 00:00:00,Lisa Taylor,2024-01-06 00:00:00,79.99,2,15.998,175.97799999999998
13,,1007,2024-01-04 00:00:00,Daniel Martinez,2024-01-06 00:00:00,39.99,3,11.997,131.96699999999998
14,,1008,2024-01-04 00:00:00,Sarah Anderson,2024-01-09 00:00:00,69.99,2,13.998,153.97799999999998
15,,1009,2024-01-05 00:00:00,Christopher Thomas,2024-01-06 00:00:00,89.99,1,8.999,98.98899999999999
16,,1010,2024-01-05 00:00:00,Kimberly Garcia,2024-01-08 00:00:00,199.99,1,19.999000000000002,219.989
17,,1011,2024-01-06 00:00:00,William Hernandez,2024-01-07 00:00:00,29.99,5,14.995,164.945
18,,1012,2024-01-06 00:00:00,Melissa Lopez,2024-01-08 00:00:00,79.99,2,15.998,175.97799999999998
19,,1013,2024-01-07 00:00:00,Richard Perez,2024-01-09 00:00:00,49.99,3,14.997,164.96699999999998
20,,1014,2024-01-07 00:00:00,Jessica Gonzalez,2024-01-12 00:00:00,129.99,1,12.999000000000002,142.989
21,,1015,2024-01-08 00:00:00,Matthew Wilson,2024-01-13 00:00:00,19.99,4,7.9959999999999996,87.95599999999999
22,,1016,2024-01-08 00:00:00,Amanda Martinez,2024-01-12 00:00:00,149.99,1,14.999000000000002,164.989
23,,1017,2024-01-09 00:00:00,James Johnson,2024-01-14 00:00:00,69.99,2,13.998,153.97799999999998
24,,1018,2024-01-09 00:00:00,Laura Brown,2024-01-12 00:00:00,39.99,3,11.997,131.96699999999998
25,,1019,2024-01-10 00:00:00,Daniel Smith,2024-01-11 00:00:00,199.99,1,19.999000000000002,219.989
26,,1020,2024-01-10 00:00:00,Jennifer Davis,2024-01-14 00:00:00,29.99,5,14.995,164.945
27,,1021,2024-01-11 00:00:00,Michael Garcia,2024-01-14 00:00:00,79.99,2,15.998,175.97799999999998
28,,1022,2024-01-11 00:00:00,Amy Hernandez,2024-01-15 00:00:00,49.99,3,14.997,164.96699999999998
29,,1023,2024-01-12 00:00:00,Christopher Rodriguez,2024-01-17 00:00:00,129.99,1,12.999000000000002,142.989
